x,y,g,id,date
-87.637159,41.931155,39.5457291667,3GcLCJNf_ZATa18NZXQ-Bw,2018-07
-87.637637,41.931630,48.95625,VIbtElw0oHxtIZeqwoDfmg,2018-07
-87.638280,41.932053,42.4263541667,xSHYCVBtYxlxWnA_JcNB8Q,2018-07
-87.639325,41.932037,41.4641666667,nFOLC3pzOad7Lk68S21o_A,2017-08
-87.639330,41.932658,17.8717708333,FBLb-hR4TwsADYdtm4i1lQ,2017-08
-87.639258,41.929669,27.4166666667,BULr2YziXhJxdEAMvmq5vQ,2017-08
-87.640133,41.929388,29.5863541667,RE2mVrJXbnCH2IOCi5F7bA,2017-08
-87.640848,41.929155,24.0741666667,_Wx5gqYhg1i_RK7g7y8fng,2018-07
-87.641629,41.928895,25.0415625,H2SZGRubnqWcBpZ6xaNvBA,2018-07
-87.801569,41.923539,17.5805208333,yPRXGHoAzxAwOutfokColg,2018-06
-87.800731,41.923547,15.89125,GH52s2izR4Da2lJskkpQaA,2018-05
-87.799812,41.923553,12.0339583333,xjxXfCP2B8dEySMtLBfKaw,2018-05
-87.798893,41.923558,13.6680208333,Opr9xxh2BwVxgHxFPDutvg,2018-06
-87.797996,41.923576,23.1207291667,z8O6D9vspYv88lu2hRV7Kg,2018-06
-87.797080,41.923589,18.0305208333,1dYVSCyfpjvwSbkvDs9iZQ,2018-06
-87.796087,41.923595,20.7029166667,pMRwBJaARJ1jumNsdX5EgQ,2018-06
-87.699664,41.934191,3.58125,9d4m00TEzpUvGMtdP6QJDQ,2018-05
-87.699114,41.933696,2.76135416667,m6vxgFm9ll-miSZjR0ah5Q,2018-05
-87.698503,41.933260,17.0703125,XLcTscyxAHs475gkq8y1Bg,2018-05
-87.661226,41.905738,5.29114583333,oxCei3bPqwnqAi4Vk6e6og,2018-05
-87.661296,41.905098,20.0034375,K8oCTrJL-hG9ddkKtOWT_Q,2018-05
-87.661448,41.904431,27.62625,QkasvpielwEtL_EzHmaoEQ,2018-05
-87.631216,41.926221,8.9346875,qGvRQONBAIHlP3CINAj3uw,2018-07
-87.631441,41.926963,25.2334375,rIRvAjcRFn_08CXzJnMXkw,2018-06
-87.631616,41.927558,17.3398958333,z-Fi-H9TTkhQm-wX-K_XBw,2018-06
-87.631826,41.928316,27.7448958333,xr8YGQ14rQdCEcg8i7Tx3g,2018-06
-87.631910,41.928862,29.8028125,ib7SbDx1vASUVarVA2drBg,2018-06
-87.631939,41.929551,27.7947916667,i3ALLJtRywT0lKlAxLOqSA,2018-06
-87.631937,41.930202,32.37125,pGLHSESK594BdKGinQtDnw,2018-06
-87.631925,41.930867,39.8853125,TBvZwfKW6VDCu0YR_5ZbdA,2018-06
-87.631912,41.931632,46.3729166667,fmoU2P1KQ0g8miB195Y33A,2018-06
-87.631903,41.932237,17.7307291667,SzLwJ95RjYt5DyMDHxt3DA,2018-06
-87.644795,41.952087,23.1957291667,N8RslMC5vSTaV6xqcHOrEQ,2018-07
-87.644751,41.951460,19.8188541667,kRyGnOnBIXiQQYqxkLKiKw,2018-07
-87.644501,41.950778,24.7264583333,Jq0arEV3jjKKVmNYLBQ1RA,2018-07
-87.644160,41.950184,14.5969791667,QxlRJtmJoz6NuajHGAGp0w,2018-07
-87.643802,41.949580,20.5471875,E16v2g7pkUfifI-waSVURw,2018-07
-87.643586,41.948861,11.5955208333,mHMztyZORMY-E1CSH50YqQ,2014-06
-87.643260,41.948300,17.4430208333,3lwv5J52ZJN616Ledp51gQ,2018-07
-87.642732,41.947786,3.46541666667,lR8bXK3dC19n2XjXHsc_ag,2007-09
-87.642333,41.947106,25.4670833333,7ruWudIUcobBJe_VatoOxQ,2018-07
-87.642008,41.946532,26.00625,qDRGMcH-TjjBkThmxyRKPg,2018-07
-87.641649,41.945879,20.0130208333,TKYgJLCHpWj-EXVbO3JP8A,2018-07
-87.641338,41.945299,30.1113541667,38Ni4bCANgE882MT6b_H6A,2018-07
-87.640978,41.944640,21.4840625,LOnVgUu5sIOKCnMMlv801A,2018-07
-87.640666,41.944058,20.7139583333,JKVTtYHj8qwcYMClqWMJLQ,2018-07
-87.640336,41.943415,15.9471875,PtrUSrnd64oKOPU9XaDrEQ,2018-07
-87.639986,41.942777,22.781875,6ujgmYCGJIz5a3Cg3n3dIg,2018-07
-87.639682,41.942237,27.3690625,L0JVv4YBwUEx3dr-sr1RyQ,2018-07
