address,ald_15,commarea,geo_networ,governance,grade_cat,grades,lat,long,network,phone,school_id,short_name,ward_15,zip,g,COUNT
4647 W 47TH ST,Edward M. Burke,GARFIELD RIDGE,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8075785077000006140224286355078,-87.7400974357999956509956973604858,Charter,1(773)582-1100,"400009",GLOBAL CITIZENSHIP,"14","60632",20.1626,"89"
5410 S STATE ST,Patricia R. Dowell,WASHINGTON PARK,"9",Charter,HS,"9, 10, 11, 12",41.7961215103999990105876349844038,-87.6258490365000000110740074887872,Charter,1(773)548-8705,"400010",ACE TECH HS,"3","60609",21.5073,"73"
3141 W JACKSON BLVD,Jason C. Ervin,EAST GARFIELD PARK,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8772483529999988149938872084022,-87.7052345258999963562018820084631,Charter,1(773)265-7232,"400011",LOCKE A,"28","60612",22.0320,"87"
3986 W BARRY AVE,Ariel E. Reboyras,AVONDALE,"4",Charter,HS,"9, 10, 11, 12",41.9372982853000024761058739386499,-87.7270956585000050154121709056199,Charter,1(773)252-0970 x137,"400013",ASPIRA - EARLY COLLEGE HS,"30","60618",10.7573,"106"
3729 W LELAND AVE,Rey Colon,ALBANY PARK,"1",Charter,ES,"6, 7, 8",41.9664056680000001620101102162153,-87.7218246652000033236618037335575,Charter,1(773)252-0970,"400017",ASPIRA - HAUGAN,"35","60625",24.3053,"51"
5608 W WASHINGTON BLVD,Chris Taliaferro,AUSTIN,"3",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8823222217000008527065801899880,-87.7653219782999940434820018708706,Charter,1(773)945-5025,"400021",CATALYST - CIRCLE ROCK,"29","60644",24.3283,"93"
2714 W AUGUSTA BLVD,Roberto Maldonado,WEST TOWN,"5",Contract,HS,"9, 10, 11, 12",41.8993765732000014168079360388219,-87.6949450118000015663710655644536,Contract,1(773)534-9710,"400022",CHICAGO ARTS HS,"26","60622",24.3050,"101"
1501 E 83RD PL,Michelle A. Harris,AVALON PARK,"12",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7431794206000006397516699507833,-87.5879276415000020961088011972606,Charter,1(773)721-0858,"400023",CICS - AVALON/SOUTH SHORE,"8","60619",27.3692,"89"
1816 W GARFIELD BLVD,JoAnn Thompson,NEW CITY,"11",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7940428644999997231934685260057,-87.6702426572999939935471047647297,Charter,1(773)778-9455,"400024",CICS - BASIL,"16","60609",30.7625,"84"
2235 N HAMILTON AVE,Scott Waguespack,LOGAN SQUARE,"6",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9224146298999968962561979424208,-87.6813579649000018889637431129813,Charter,1(773)645-3321,"400025",CICS - BUCKTOWN,"32","60647",22.5168,"127"
9535 S LOOMIS ST,"Howard B. Brookins, Jr.",WASHINGTON HEIGHTS,"11",Charter,ES,"K, 1, 2",41.7202464237999990359639923553914,-87.6575610585999953627833747304976,Charter,1(773)429-8955,"400026",CICS - LOOMIS,"21","60643",25.3738,"60"
3820 N SPAULDING AVE,Deborah Mell,IRVING PARK,"1",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9508912754999983008019626140594,-87.7104924285000038253201637417078,Charter,1(773)433-5000,"400027",CICS - IRVING PARK,"33","60618",22.0689,"118"
11530 S PRAIRIE AVE,Anthony A. Beale,WEST PULLMAN,"13",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6844330386999999404906702693552,-87.6168883816999937153013888746500,Charter,1(773)928-0480,"400028",CICS - PRAIRIE,"9","60628",17.9391,"82"
110 E 61ST ST,Willie B. Cochran,WASHINGTON PARK,"9",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7841263975999979152220475953072,-87.6212607530000013866811059415340,Charter,1(773)324-3300,"400029",CICS - WASHINGTON PARK,"20","60637",20.9944,"72"
2245 N MCVICKER AVE,Nicholas Sposato,BELMONT CRAGIN,"3",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9216874954000005004672857467085,-87.7767485395000051084934966638684,Charter,1(773)637-9430,"400030",CICS - WEST BELDEN,"36","60639",25.2149,"96"
8130 S CALIFORNIA AVE,Lona Lane,ASHBURN,"10",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7453654506999995987825968768448,-87.6926143988000035278673749417067,Charter,1(773)434-4575,"400031",CICS - WRIGHTWOOD,"18","60652",20.3365,"7"
1817 W 80TH ST,Latasha R. Thomas,AUBURN GRESHAM,"11",Charter,HS,"9, 10, 11, 12",41.7483824083999977005987602751702,-87.6689796389999997927588992752135,Charter,1(773)478-4434,"400032",CICS - ELLISON HS,"17","60620",10.3254,"26"
1309 W 95TH ST,"Howard B. Brookins, Jr.",WASHINGTON HEIGHTS,"11",Charter,HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.7212214329999966366813168860972,-87.6557681328999933612067252397537,Charter,1(773)238-5330,"400033",CICS - LONGWOOD,"21","60643",22.6397,"65"
3900 W PETERSON AVE,Margaret Laurino,NORTH PARK,"1",Charter,HS,"9, 10, 11, 12",41.9902450121999990528820489998907,-87.7265042643000043653955799527466,Charter,1(773)478-3655,"400034",CICS - NORTHTOWN HS,"39","60659",25.5124,"7"
7212 N CLARK ST,Joe A. Moore,ROGERS PARK,"2",Charter,HS,"6, 7, 8, 9, 10, 11, 12",42.0130314897999994627753039821982,-87.6748184183999939023124170489609,Charter,1(773)761-8960,"400035",CHICAGO MATH & SCIENCE HS,"49","60626",28.8741,"40"
38 S PEORIA ST,Daniel S. Solis,NEAR WEST SIDE,"6",Charter,HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.8805501125999981582026521209627,-87.6497724848999979485597577877343,Charter,1(312)267-4486,"400036",CHICAGO VIRTUAL,"25","60607",13.0626,"141"
1405 N WASHTENAW AVE,Proco (Joe) Moreno III,WEST TOWN,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9067706355999973766301991418004,-87.6943644451999944067210890352726,Charter,1(773)486-7161,"400039",ERIE,"1","60622",11.9315,"87"
3711 W DOUGLAS BLVD,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8620768640999969534277624916285,-87.7176419763000012608245015144348,Charter,1(773)534-6776,"400040",FRAZIER CHARTER,"24","60624",29.5778,"111"
1628 W WASHINGTON,"Walter Burnett, Jr.",NEAR WEST SIDE,"6",Contract,ES,"K, 1, 2, 3, 4, 5",41.8833620269999968854790495242923,-87.6680769456000064110412495210767,Contract,1(773)534-7405,"400043",HOPE INSTITUTE,"27","60612",17.8442,"153"
1616 S AVERS AVE,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,ES,"6, 7, 8",41.8583697440000008782590157352388,-87.7210706464999958598127705045044,Charter,1(773)521-4766,"400044",KIPP - ASCEND,"24","60623",27.9855,"102"
314 W 108TH ST,Carrie M. Austin,ROSELAND,"13",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6980404887999966945244523230940,-87.6310581486000046425033360719681,Charter,1(773)568-8000,"400045",NKRUMAH,"34","60628",24.2818,"43"
1132 S HOMAN AVE,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8672727147000003355969965923578,-87.7106794800999978178879246115685,Charter,1(773)826-6330,"400046",LEARN - BUTLER,"24","60624",20.9472,"93"
212 S FRANCISCO AVE,"Walter Burnett, Jr.",EAST GARFIELD PARK,"5",Charter,ES,"K, 1, 2, 3, 4, 5",41.8778606318999990776319464202970,-87.6987387198000050148039008490741,Charter,1(773)826-0370,"400047",LEARN - CAMPBELL,"27","60612",23.8481,"81"
3021 W CARROLL AVE,"Walter Burnett, Jr.",EAST GARFIELD PARK,"5",Charter,ES,"K, 1, 2, 3, 4, 5",41.8873199156999973524762026499957,-87.7020708903999945960094919428229,Charter,1(312)243-7001,"400048",LEARN - EXCEL,"27","60612",23.8011,"68"
4217 W 18TH ST,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8568591582000024686749384272844,-87.7303481486000009681447409093380,Charter,1(773)542-1640,"400049",LEGACY,"24","60623",27.3646,"86"
